#           k/h   P            
    0.10000E-03    0.90386E+01
    0.10202E-03    0.92138E+01
    0.10408E-03    0.93923E+01
    0.10618E-03    0.95743E+01
    0.10833E-03    0.97598E+01
    0.11052E-03    0.99490E+01
    0.11275E-03    0.10142E+02
    0.11503E-03    0.10338E+02
    0.11735E-03    0.10539E+02
    0.11972E-03    0.10743E+02
    0.12214E-03    0.10951E+02
    0.12461E-03    0.11163E+02
    0.12712E-03    0.11379E+02
    0.12969E-03    0.11600E+02
    0.13231E-03    0.11825E+02
    0.13499E-03    0.12054E+02
    0.13771E-03    0.12287E+02
    0.14049E-03    0.12525E+02
    0.14333E-03    0.12768E+02
    0.14623E-03    0.13015E+02
    0.14918E-03    0.13267E+02
    0.15220E-03    0.13524E+02
    0.15527E-03    0.13786E+02
    0.15841E-03    0.14053E+02
    0.16161E-03    0.14325E+02
    0.16487E-03    0.14603E+02
    0.16820E-03    0.14886E+02
    0.17160E-03    0.15174E+02
    0.17507E-03    0.15468E+02
    0.17860E-03    0.15767E+02
    0.18221E-03    0.16073E+02
    0.18589E-03    0.16384E+02
    0.18965E-03    0.16701E+02
    0.19348E-03    0.17024E+02
    0.19739E-03    0.17354E+02
    0.20138E-03    0.17690E+02
    0.20544E-03    0.18032E+02
    0.20959E-03    0.18381E+02
    0.21383E-03    0.18737E+02
    0.21815E-03    0.19100E+02
    0.22255E-03    0.19469E+02
    0.22705E-03    0.19846E+02
    0.23164E-03    0.20230E+02
    0.23632E-03    0.20621E+02
    0.24109E-03    0.21020E+02
    0.24596E-03    0.21427E+02
    0.25093E-03    0.21841E+02
    0.25600E-03    0.22264E+02
    0.26117E-03    0.22694E+02
    0.26645E-03    0.23133E+02
    0.27183E-03    0.23581E+02
    0.27732E-03    0.24037E+02
    0.28292E-03    0.24501E+02
    0.28864E-03    0.24975E+02
    0.29447E-03    0.25457E+02
    0.30042E-03    0.25949E+02
    0.30649E-03    0.26451E+02
    0.31268E-03    0.26962E+02
    0.31899E-03    0.27483E+02
    0.32544E-03    0.28013E+02
    0.33201E-03    0.28554E+02
    0.33872E-03    0.29106E+02
    0.34556E-03    0.29668E+02
    0.35254E-03    0.30240E+02
    0.35966E-03    0.30824E+02
    0.36693E-03    0.31419E+02
    0.37434E-03    0.32025E+02
    0.38190E-03    0.32643E+02
    0.38962E-03    0.33272E+02
    0.39749E-03    0.33914E+02
