#           k/h   P            
    0.10000E-03    0.74636E+01
    0.10202E-03    0.76082E+01
    0.10408E-03    0.77556E+01
    0.10618E-03    0.79059E+01
    0.10833E-03    0.80591E+01
    0.11052E-03    0.82153E+01
    0.11275E-03    0.83745E+01
    0.11503E-03    0.85368E+01
    0.11735E-03    0.87022E+01
    0.11972E-03    0.88708E+01
    0.12214E-03    0.90427E+01
    0.12461E-03    0.92179E+01
    0.12712E-03    0.93965E+01
    0.12969E-03    0.95785E+01
    0.13231E-03    0.97641E+01
    0.13499E-03    0.99533E+01
    0.13771E-03    0.10146E+02
    0.14049E-03    0.10343E+02
    0.14333E-03    0.10543E+02
    0.14623E-03    0.10747E+02
    0.14918E-03    0.10955E+02
    0.15220E-03    0.11168E+02
    0.15527E-03    0.11384E+02
    0.15841E-03    0.11604E+02
    0.16161E-03    0.11829E+02
    0.16487E-03    0.12058E+02
    0.16820E-03    0.12292E+02
    0.17160E-03    0.12530E+02
    0.17507E-03    0.12773E+02
    0.17860E-03    0.13020E+02
    0.18221E-03    0.13272E+02
    0.18589E-03    0.13529E+02
    0.18965E-03    0.13791E+02
    0.19348E-03    0.14058E+02
    0.19739E-03    0.14330E+02
    0.20138E-03    0.14607E+02
    0.20544E-03    0.14890E+02
    0.20959E-03    0.15178E+02
    0.21383E-03    0.15472E+02
    0.21815E-03    0.15772E+02
    0.22255E-03    0.16077E+02
    0.22705E-03    0.16388E+02
    0.23164E-03    0.16705E+02
    0.23632E-03    0.17028E+02
    0.24109E-03    0.17358E+02
    0.24596E-03    0.17694E+02
    0.25093E-03    0.18036E+02
    0.25600E-03    0.18385E+02
    0.26117E-03    0.18740E+02
    0.26645E-03    0.19103E+02
    0.27183E-03    0.19472E+02
    0.27732E-03    0.19849E+02
    0.28292E-03    0.20232E+02
    0.28864E-03    0.20624E+02
    0.29447E-03    0.21022E+02
    0.30042E-03    0.21428E+02
    0.30649E-03    0.21843E+02
    0.31268E-03    0.22265E+02
    0.31899E-03    0.22695E+02
    0.32544E-03    0.23133E+02
    0.33201E-03    0.23580E+02
    0.33872E-03    0.24035E+02
    0.34556E-03    0.24499E+02
    0.35254E-03    0.24972E+02
    0.35966E-03    0.25454E+02
    0.36693E-03    0.25945E+02
    0.37434E-03    0.26446E+02
    0.38190E-03    0.26956E+02
    0.38962E-03    0.27476E+02
    0.39749E-03    0.28006E+02
    0.40552E-03    0.28546E+02
    0.41371E-03    0.29096E+02
    0.42207E-03    0.29657E+02
    0.43060E-03    0.30228E+02
    0.43929E-03    0.30810E+02
    0.44817E-03    0.31404E+02
    0.45722E-03    0.32008E+02
    0.46646E-03    0.32624E+02
    0.47588E-03    0.33252E+02
    0.48550E-03    0.33891E+02
    0.49530E-03    0.34543E+02
    0.50531E-03    0.35207E+02
    0.51552E-03    0.35883E+02
    0.52593E-03    0.36573E+02
    0.53656E-03    0.37275E+02
    0.54739E-03    0.37990E+02
    0.55845E-03    0.38719E+02
    0.56973E-03    0.39462E+02
    0.58124E-03    0.40218E+02
    0.59299E-03    0.40989E+02
    0.60496E-03    0.41774E+02
    0.61719E-03    0.42573E+02
    0.62965E-03    0.43388E+02
    0.64237E-03    0.44218E+02
    0.65535E-03    0.45063E+02
    0.66859E-03    0.45924E+02
    0.68210E-03    0.46801E+02
    0.69588E-03    0.47693E+02
